language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
-0.388888889,-0.181111111,1,0,0,1.075,de_flag,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,-0.028888889,-0.456666667,1,0,0,4.466,start_button,2,4.056,0.366666667,-0.425555556,1,0,0,next_trial_button,0,0,0,39,1,landscape,visiblesun,yesclouds,4,"749.7656982193065,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,9,2.294,0.412222222,-0.425555556,1,0,0,next_trial_button,0,1,1,46,1,landscape,visiblesun,noclouds,5,"750,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,9,2.482,0.421111111,-0.395555556,1,0,0,next_trial_button,0,2,2,45,1,landscape,invisiblesun,yesclouds,5,"749.6251874062968,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,3,4.299,0.353333333,-0.431111111,1,0,0,next_trial_button,0,3,3,74,1,beach,visiblesun,noclouds,9,"1028.5714285714284,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,3,2.013,0.418888889,-0.455555556,1,0,0,next_trial_button,0,4,4,43,1,beach,visiblesun,yesclouds,5,"750,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,2,2.258,0.404444444,-0.402222222,1,0,0,next_trial_button,0,5,5,78,1,landscape,visiblesun,noclouds,9,"666.6666666666666,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,3,2.096,0.368888889,-0.43,1,0,0,next_trial_button,0,6,6,26,1,beach,visiblesun,noclouds,3,"888.8888888888888,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,6,1.812,0.368888889,-0.425555556,1,0,0,next_trial_button,0,7,7,40,1,beach,invisiblesun,noclouds,5,"1028.5714285714284,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,7,2.13,0.364444444,-0.396666667,1,0,0,next_trial_button,0,8,8,18,1,beach,visiblesun,noclouds,2,"666.6666666666666,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,7,1.86,0.344444444,-0.431111111,1,0,0,next_trial_button,0,9,9,21,1,landscape,invisiblesun,yesclouds,2,"750,500",
