language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
-0.273333333,-0.296190476,1,0,0,1.221,de_flag,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,0.07047619,-0.399047619,1,0,0,10.249,cont_gr,6,6.091,0.343809524,-0.420952381,1,0,0,next_trial_button,0,0,0,53,1,landscape,invisiblesun,yesclouds,6,"750.0695023630803,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,6,3.431,0.365714286,-0.418095238,1,0,0,next_trial_button,0,1,1,59,1,beach,visiblesun,yesclouds,7,"888.9689978370584,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,5,2.658,0.364761905,-0.398095238,1,0,0,next_trial_button,0,2,2,40,1,beach,invisiblesun,noclouds,5,"1028.5714285714284,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,4,2.266,0.398095238,-0.40952381,1,0,0,next_trial_button,0,3,3,46,1,landscape,visiblesun,noclouds,5,"750,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,8,2.275,0.318095238,-0.424761905,1,0,0,next_trial_button,0,4,4,14,1,landscape,visiblesun,noclouds,1,"745.9919839679359,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,5,3.91,0.36,-0.418095238,1,0,0,next_trial_button,0,5,5,62,1,landscape,visiblesun,noclouds,7,"417.42389822807814,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,6,4.014,0.343809524,-0.395238095,1,0,0,next_trial_button,0,6,6,21,1,landscape,invisiblesun,yesclouds,2,"750,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,9,2.964,0.388571429,-0.407619048,1,0,0,next_trial_button,0,7,7,45,1,landscape,invisiblesun,yesclouds,5,"749.6251874062968,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,6,2.415,0.33047619,-0.413333333,1,0,0,next_trial_button,0,8,8,2,1,beach,visiblesun,noclouds,0,"375,500",
,,,,,,,de,de,de,f,43,,2021-08-05_16h46.35.573,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1674,860,1680,1050,,,,,,,,8,1.994,0.324761905,-0.420952381,1,0,0,next_trial_button,0,9,9,50,1,beach,visiblesun,noclouds,6,"666.6666666666666,500",
