language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
-0.44,-0.256666667,1,0,0,1.218,de_flag,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,-0.022222222,-0.397777778,1,0,0,12.2,cont_gr,8,7.196,0.375555556,-0.413333333,1,0,0,next_trial_button,0,0,0,78,1,landscape,visiblesun,noclouds,9,"666.6666666666666,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,10,1.67,0.332222222,-0.417777778,1,0,0,next_trial_button,0,1,1,29,1,landscape,invisiblesun,yesclouds,3,"749.8660953401178,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,10,1.671,0.38,-0.417777778,1,0,0,next_trial_button,0,2,2,45,1,landscape,invisiblesun,yesclouds,5,"749.6251874062968,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,10,1.939,0.43,-0.406666667,1,0,0,next_trial_button,0,3,3,26,1,beach,visiblesun,noclouds,3,"888.8888888888888,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,10,1.606,0.42,-0.41,1,0,0,next_trial_button,0,4,4,6,1,landscape,visiblesun,noclouds,0,"1413.8005159071367,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,10,2.289,0.478888889,-0.424444444,1,0,0,next_trial_button,0,5,5,34,1,beach,visiblesun,noclouds,4,"749.6251874062968,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,10,1.56,0.497777778,-0.428888889,1,0,0,next_trial_button,0,6,6,11,1,beach,visiblesun,yesclouds,1,"989.8132427843803,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,5,1.806,0.415555556,-0.442222222,1,0,0,next_trial_button,0,7,7,25,1,beach,invisiblesun,yesclouds,3,"750.4690431519699,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,4,3.443,0.54,-0.416666667,1,0,0,next_trial_button,0,8,8,62,1,landscape,visiblesun,noclouds,7,"417.42389822807814,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,5,2.737,0.455555556,-0.418888889,1,0,0,next_trial_button,0,9,9,2,1,beach,visiblesun,noclouds,0,"375,500",
