language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,fbclid,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.294444444,-0.226666667,1,0,0,2.719,gr_flag,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,0.087777778,-0.453333333,1,0,0,21.299,start_button,6,15.389,0.361111111,-0.436666667,1,0,0,next_trial_button,0,0,0,46,1,landscape,visiblesun,noclouds,5,"750,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,2,4.637,0.367777778,-0.418888889,1,0,0,next_trial_button,0,1,1,17,1,beach,invisiblesun,yesclouds,2,"684.8635235732011,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,2,7.643,0.457777778,-0.414444444,1,0,0,next_trial_button,0,2,2,64,1,beach,invisiblesun,noclouds,8,"1028.5714285714284,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,7,6.056,0.376666667,-0.45,1,0,0,next_trial_button,0,3,3,0,1,beach,invisiblesun,noclouds,0,"750,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,6,3.393,0.366666667,-0.445555556,1,0,0,next_trial_button,0,4,4,71,1,landscape,visiblesun,yesclouds,8,"666.6666666666666,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,4,7.28,0.361111111,-0.456666667,1,0,0,next_trial_button,0,5,5,67,1,beach,visiblesun,yesclouds,8,"748.1481481481482,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,7,5.213,0.427777778,-0.411111111,1,0,0,next_trial_button,0,6,6,8,1,beach,invisiblesun,noclouds,1,"1215.1898734177216,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,9,3.974,0.348888889,-0.413333333,1,0,0,next_trial_button,0,7,7,1,1,beach,invisiblesun,yesclouds,0,"666.6666666666666,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,6,5.516,0.336666667,-0.401111111,1,0,0,next_trial_button,0,8,8,57,1,beach,invisiblesun,yesclouds,7,"749.707488299532,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,1,5.04,0.432222222,-0.406666667,1,0,0,next_trial_button,0,9,9,38,1,landscape,visiblesun,noclouds,4,"733.3333333333333,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,6,5.297,0.397777778,-0.41,1,0,0,next_trial_button,0,10,10,23,1,landscape,visiblesun,yesclouds,2,"767.97829036635,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,6,5.047,0.362222222,-0.446666667,1,0,0,next_trial_button,0,11,11,11,1,beach,visiblesun,yesclouds,1,"989.8132427843803,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,4,5.298,0.457777778,-0.416666667,1,0,0,next_trial_button,0,12,12,14,1,landscape,visiblesun,noclouds,1,"745.9919839679359,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,6,6.695,0.334444444,-0.415555556,1,0,0,next_trial_button,0,13,13,74,1,beach,visiblesun,noclouds,9,"1028.5714285714284,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,4,5.527,0.424444444,-0.407777778,1,0,0,next_trial_button,0,14,14,61,1,landscape,invisiblesun,yesclouds,7,"500,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,7,4.974,0.486666667,-0.408888889,1,0,0,next_trial_button,0,15,15,20,1,landscape,invisiblesun,noclouds,2,"755.192878338279,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,8,3.866,0.385555556,-0.437777778,1,0,0,next_trial_button,0,16,16,29,1,landscape,invisiblesun,yesclouds,3,"749.8660953401178,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,1,2.134,0.35,-0.417777778,1,0,0,next_trial_button,0,17,17,76,1,landscape,invisiblesun,noclouds,9,"1056.6037735849056,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,1,2.724,0.415555556,-0.427777778,1,0,0,next_trial_button,0,18,18,68,1,landscape,invisiblesun,noclouds,8,"666.6666666666666,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,6,2.687,0.345555556,-0.4,1,0,0,next_trial_button,0,19,19,42,1,beach,visiblesun,noclouds,5,"834.4594594594595,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,6,5.126,0.417777778,-0.444444444,1,0,0,next_trial_button,0,20,20,72,1,beach,invisiblesun,noclouds,9,"888.8888888888888,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,8,4.333,0.418888889,-0.421111111,1,0,0,next_trial_button,0,21,21,58,1,beach,visiblesun,noclouds,7,"1028.5714285714284,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,9,5.58,0.414444444,-0.45,1,0,0,next_trial_button,0,22,22,4,1,landscape,invisiblesun,noclouds,0,"1276.9171185127807,500",
,,,,,,,multiple,multiple,gr,f,23,,2021-08-31_16h08.10.314,online_experiment,2021.1.4,MacIntel,55.55555556,IwAR0uxIf1s_BxrsifHEX7pYivTMNZpGnOAPLE5pTh5wIrN8atPvZGgrxkJRg,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",1324,789,1440,900,,,,,,,,4,4.766,0.34,-0.436666667,1,0,0,next_trial_button,0,23,23,66,1,beach,visiblesun,noclouds,8,"1028.5714285714284,500",
