language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,fbclid,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.296636285,-0.248849826,1,0,0,0.6383,gr_flag,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,0.04953559,-0.407630208,1,0,0,6.1325,cont_gr,4,8.0758,0.457096354,-0.410368924,1,0,0,next_trial_button,0,0,0,52,1,landscape,invisiblesun,noclouds,6,"666.6666666666666,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,8,3.5555,0.441831597,-0.428836806,1,0,0,next_trial_button,0,1,1,10,1,beach,visiblesun,noclouds,1,"747.0261697065821,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,3,4.3596,0.45484809,-0.430095486,1,0,0,next_trial_button,0,2,2,60,1,landscape,invisiblesun,noclouds,7,"666.7268134247564,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,9,4.8488,0.453233507,-0.430646701,1,0,0,next_trial_button,0,3,3,0,1,beach,invisiblesun,noclouds,0,"750,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,7,4.1138,0.387934028,-0.425616319,1,0,0,next_trial_button,0,4,4,8,1,beach,invisiblesun,noclouds,1,"1215.1898734177216,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,5,3.7443,0.445807292,-0.391427951,1,0,0,next_trial_button,0,5,5,23,1,landscape,visiblesun,yesclouds,2,"767.97829036635,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,8,1.9288,0.392769097,-0.413298611,1,0,0,next_trial_button,0,6,6,65,1,beach,invisiblesun,yesclouds,8,"750,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,5,2.396,0.432365451,-0.420603299,1,0,0,next_trial_button,0,7,7,79,1,landscape,visiblesun,yesclouds,9,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,7,4.0628,0.425104167,-0.431631944,1,0,0,next_trial_button,0,8,8,16,1,beach,invisiblesun,noclouds,2,"752.8089887640449,500",
,,,,,,,gr,gr,gr,m,22,,2021-08-31_19h44.45.434,online_experiment,2021.1.4,MacIntel,59.99880002,IwAR1fEgjUWMGlZtHCH18S1-wQdqXRnYNvoQzLK97tsbMgVU0n0ibfSZCRk0c,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1440,821,1440,900,,,,,,,,9,2.3213,0.481896701,-0.425069444,1,0,0,next_trial_button,0,9,9,29,1,landscape,invisiblesun,yesclouds,3,"749.8660953401178,500",
