language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.358426881,-0.254414679,1,0,0,1.222,gr_flag,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,0.053186768,-0.394007562,1,0,0,9.7392,cont_gr,7,8.0661,0.381588093,-0.43531029,1,0,0,next_trial_button,0,0,0,33,1,beach,invisiblesun,yesclouds,4,"751.5473032714411,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,5,3.1836,0.38548901,-0.429559356,1,0,0,next_trial_button,0,1,1,1,1,beach,invisiblesun,yesclouds,0,"666.6666666666666,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,3,1.9718,0.380125249,-0.420671333,1,0,0,next_trial_button,0,2,2,11,1,beach,visiblesun,yesclouds,1,"989.8132427843803,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,4,1.8864,0.390608852,-0.400804242,1,0,0,next_trial_button,0,3,3,39,1,landscape,visiblesun,yesclouds,4,"749.7656982193065,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,3,1.715,0.364765723,-0.413874654,1,0,0,next_trial_button,0,4,4,56,1,beach,invisiblesun,noclouds,7,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,2,2.4545,0.38548901,-0.404463981,1,0,0,next_trial_button,0,5,5,30,1,landscape,visiblesun,noclouds,3,"346.3035019455253,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,5,2.0456,0.382563322,-0.408646519,1,0,0,next_trial_button,0,6,6,72,1,beach,invisiblesun,noclouds,9,"888.8888888888888,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,5,1.5246,0.384269937,-0.400804242,1,0,0,next_trial_button,0,7,7,47,1,landscape,visiblesun,yesclouds,5,"666.6666666666666,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,6,2.3333,0.394265777,-0.458837268,1,0,0,next_trial_button,0,8,8,14,1,landscape,visiblesun,noclouds,1,"745.9919839679359,500",
,,,,,,,gr,gr,gr,m,24,,2021-08-31_22h58.35.333,online_experiment,2021.1.4,Linux aarch64,60.20469597,FALSE,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Safari/537.36",1648,3011,412,809,,,,,,,,2,1.9125,0.397435309,-0.421717079,1,0,0,next_trial_button,0,9,9,10,1,beach,visiblesun,noclouds,1,"747.0261697065821,500",
