language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,fbclid,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.29,-0.228888889,1,0,0,1.226,gr_flag,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,0.016666667,-0.408888889,1,0,0,12.145,cont_gr,10,4.528,0.361111111,-0.433333333,1,0,0,next_trial_button,0,0,0,45,1,landscape,invisiblesun,yesclouds,5,"749.6251874062968,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,3,3.498,0.54,-0.406666667,1,0,0,next_trial_button,0,1,1,31,1,landscape,visiblesun,yesclouds,3,"638.0622837370242,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,3,3.833,0.382222222,-0.411111111,1,0,0,next_trial_button,0,2,2,78,1,landscape,visiblesun,noclouds,9,"666.6666666666666,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,6,5.239,0.433333333,-0.415555556,1,0,0,next_trial_button,0,3,3,10,1,beach,visiblesun,noclouds,1,"747.0261697065821,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,5,7.284,0.397777778,-0.43,1,0,0,next_trial_button,0,4,4,62,1,landscape,visiblesun,noclouds,7,"417.42389822807814,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,4,3.682,0.355555556,-0.421111111,1,0,0,next_trial_button,0,5,5,72,1,beach,invisiblesun,noclouds,9,"888.8888888888888,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,9,3.148,0.372222222,-0.423333333,1,0,0,next_trial_button,0,6,6,33,1,beach,invisiblesun,yesclouds,4,"751.5473032714411,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,10,2.049,0.37,-0.444444444,1,0,0,next_trial_button,0,7,7,24,1,beach,invisiblesun,noclouds,3,"750.089190153407,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,6,3.781,0.344444444,-0.417777778,1,0,0,next_trial_button,0,8,8,40,1,beach,invisiblesun,noclouds,5,"1028.5714285714284,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_16h32.15.805,online_experiment,2021.1.4,MacIntel,47.61904762,IwAR2C-QPCjZ6Ygm0_xeAg3n6cf4wx54P8nc5keEXZCn6PossWYMYLk1zFQS4,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1440,820,1440,900,,,,,,,,4,6.362,0.326666667,-0.408888889,1,0,0,next_trial_button,0,9,9,70,1,landscape,visiblesun,noclouds,8,"666.6666666666666,500",
